Date,Region,Mean
2011-11-01,London & Northern Ireland,2.8914
2011-12-01,Other,2.68392
2011-12-01,London & Northern Ireland,2.8824
2012-01-01,Other,2.67888
2012-01-01,London & Northern Ireland,2.90525
2012-02-01,Other,2.70076
2012-02-01,London & Northern Ireland,2.8766
2012-03-01,Other,2.72777
2012-03-01,London & Northern Ireland,2.88755
2012-04-01,Other,2.75484
2012-04-01,London & Northern Ireland,2.90055
2012-05-01,Other,2.75191
2012-05-01,London & Northern Ireland,2.9599
2012-06-01,Other,2.75814
2012-06-01,London & Northern Ireland,2.9681
2012-07-01,Other,2.76467
2012-07-01,London & Northern Ireland,2.9493
2012-08-01,Other,2.76963
2012-08-01,London & Northern Ireland,2.9463
2012-09-01,Other,2.772
2012-09-01,London & Northern Ireland,2.94605
2012-10-01,Other,2.77775
2012-10-01,London & Northern Ireland,2.90935
2012-11-01,Other,2.78636
2012-11-01,London & Northern Ireland,2.93435
2012-12-01,Other,2.78943
2012-12-01,London & Northern Ireland,2.94
2013-01-01,Other,2.78767
2013-01-01,London & Northern Ireland,2.94265
2013-02-01,Other,2.80675
2013-02-01,London & Northern Ireland,2.9246
2013-03-01,Other,2.81458
2013-03-01,London & Northern Ireland,2.9434
2013-04-01,Other,2.83604
2013-04-01,London & Northern Ireland,2.9519
2013-05-01,Other,2.83248
2013-05-01,London & Northern Ireland,2.9331
2013-06-01,Other,2.83274
2013-06-01,London & Northern Ireland,2.93245
2013-07-01,Other,2.8398
2013-07-01,London & Northern Ireland,2.9544
2013-08-01,Other,2.82866
2013-08-01,London & Northern Ireland,2.9509
2013-09-01,Other,2.83138
2013-09-01,London & Northern Ireland,2.9508
2013-10-01,Other,2.83369
2013-10-01,London & Northern Ireland,2.9467
2013-11-01,Other,2.84059
2013-11-01,London & Northern Ireland,2.954
2013-12-01,Other,2.84244
2013-12-01,London & Northern Ireland,2.9793
2014-01-01,Other,2.83942
2014-01-01,London & Northern Ireland,2.9653
2014-02-01,Other,2.83341
2014-02-01,London & Northern Ireland,3.0602
2014-03-01,Other,2.8267
2014-03-01,London & Northern Ireland,3.07355
2014-04-01,Other,2.82315
2014-04-01,London & Northern Ireland,3.0939
2014-05-01,Other,2.83251
2014-05-01,London & Northern Ireland,3.1086
2014-06-01,Other,2.84511
2014-06-01,London & Northern Ireland,3.09985
2014-07-01,Other,2.85282
2014-07-01,London & Northern Ireland,3.07825
2014-08-01,Other,2.86029
2014-08-01,London & Northern Ireland,3.0825
2014-09-01,Other,2.85174
2014-09-01,London & Northern Ireland,3.1072
2014-10-01,Other,2.86413
2014-10-01,London & Northern Ireland,3.1
2014-11-01,Other,2.86721
2014-11-01,London & Northern Ireland,3.0969
2014-12-01,Other,2.86737
2014-12-01,London & Northern Ireland,3.10215
2015-01-01,Other,2.86163
2015-01-01,London & Northern Ireland,3.0637
2015-02-01,Other,2.87692
2015-02-01,London & Northern Ireland,3.08865
2015-03-01,Other,2.88136
2015-03-01,London & Northern Ireland,3.0913
2015-04-01,Other,2.8619
2015-04-01,London & Northern Ireland,3.0977
2015-05-01,Other,2.86877
2015-05-01,London & Northern Ireland,3.15245
2015-06-01,Other,2.88452
2015-06-01,London & Northern Ireland,3.1747
2015-07-01,Other,2.88816
2015-07-01,London & Northern Ireland,3.16485
2015-08-01,Other,2.88237
2015-08-01,London & Northern Ireland,3.171
2015-09-01,Other,2.8863
2015-09-01,London & Northern Ireland,3.1834
2015-10-01,Other,2.87929
2015-10-01,London & Northern Ireland,3.2221
2015-11-01,Other,2.88172
2015-11-01,London & Northern Ireland,3.2424
2015-12-01,Other,2.89783
2015-12-01,London & Northern Ireland,3.25055
2016-01-01,Other,2.88861
2016-01-01,London & Northern Ireland,3.2417
2016-02-01,Other,2.90645
2016-02-01,London & Northern Ireland,3.2982
2016-03-01,Other,2.92837
2016-03-01,London & Northern Ireland,3.29975
2016-04-01,Other,2.94176
2016-04-01,London & Northern Ireland,3.30245
2016-05-01,Other,2.92937
2016-05-01,London & Northern Ireland,3.34225
2016-06-01,Other,2.93367
2016-06-01,London & Northern Ireland,3.32715
2016-07-01,Other,2.95838
2016-07-01,London & Northern Ireland,3.2977
2016-08-01,Other,2.94458
2016-08-01,London & Northern Ireland,3.30455
2016-09-01,Other,2.95533
2016-09-01,London & Northern Ireland,3.32915
2016-10-01,Other,2.965
2016-10-01,London & Northern Ireland,3.3695
2016-11-01,Other,2.9606
2016-11-01,London & Northern Ireland,3.37645
2016-12-01,Other,2.95461
2016-12-01,London & Northern Ireland,3.36435
2017-01-01,Other,2.95323
2017-01-01,London & Northern Ireland,3.3564
2017-02-01,Other,2.94405
2017-02-01,London & Northern Ireland,3.3904
2017-03-01,Other,2.96049
2017-03-01,London & Northern Ireland,3.41265
2017-04-01,Other,2.97481
2017-04-01,London & Northern Ireland,3.40915
2017-05-01,Other,2.99779
2017-05-01,London & Northern Ireland,3.4153
2017-06-01,Other,3.00112
2017-06-01,London & Northern Ireland,3.4704
2017-07-01,Other,2.99711
2017-07-01,London & Northern Ireland,3.47065
2017-08-01,Other,3.00124
2017-08-01,London & Northern Ireland,3.4814
2017-09-01,Other,2.98081
2017-09-01,London & Northern Ireland,3.5186
2017-10-01,Other,2.98145
2017-10-01,London & Northern Ireland,3.51645
2017-11-01,Other,2.97784
2017-11-01,London & Northern Ireland,3.5257
2017-12-01,Other,2.97445
2017-12-01,London & Northern Ireland,3.5452
2018-01-01,Other,2.98276
2018-01-01,London & Northern Ireland,3.5396
2018-02-01,Other,2.97648
2018-02-01,London & Northern Ireland,3.53995
2018-03-01,Other,2.98074
2018-03-01,London & Northern Ireland,3.5417
2018-04-01,Other,3.01895
2018-04-01,London & Northern Ireland,3.56935
2018-05-01,Other,3.02005
2018-05-01,London & Northern Ireland,3.59085
2018-06-01,Other,3.01815
2018-06-01,London & Northern Ireland,3.5978
2018-07-01,Other,3.02939
2018-07-01,London & Northern Ireland,3.58515
2018-08-01,Other,3.01447
2018-08-01,London & Northern Ireland,3.5978
2018-09-01,Other,3.01317
2018-09-01,London & Northern Ireland,3.604
2018-10-01,Other,2.99565
2018-10-01,London & Northern Ireland,3.59335
2018-11-01,Other,3.02265
2018-11-01,London & Northern Ireland,3.5931
2018-12-01,Other,2.99834
2018-12-01,London & Northern Ireland,3.53485
2019-01-01,Other,2.997
2019-01-01,London & Northern Ireland,3.57425
2019-02-01,Other,3.01596
2019-02-01,London & Northern Ireland,3.63905
2019-03-01,Other,3.04299
2019-03-01,London & Northern Ireland,3.74035
2019-04-01,Other,3.04981
2019-04-01,London & Northern Ireland,3.77655
2019-05-01,Other,3.0383
2019-05-01,London & Northern Ireland,3.815
2019-06-01,Other,3.05063
2019-06-01,London & Northern Ireland,3.8386
2019-07-01,Other,3.06457
2019-07-01,London & Northern Ireland,3.83175
2019-08-01,Other,3.06705
2019-08-01,London & Northern Ireland,3.8537
2019-09-01,Other,3.07467
2019-09-01,London & Northern Ireland,3.84175
2019-10-01,Other,3.07058
2019-10-01,London & Northern Ireland,3.88485
2019-11-01,Other,3.07592
2019-11-01,London & Northern Ireland,3.8274
2019-12-01,Other,3.07853
2019-12-01,London & Northern Ireland,3.85675
2020-01-01,Other,3.09149
2020-01-01,London & Northern Ireland,3.88075
2020-02-01,Other,3.04857
2020-02-01,London & Northern Ireland,3.99615
2020-03-01,Other,3.02876
2020-03-01,London & Northern Ireland,4.03325
2020-07-01,Other,2.8152
2020-07-01,London & Northern Ireland,3.9752
2020-08-01,Other,2.97337
2020-08-01,London & Northern Ireland,4.13985
2020-09-01,Other,3.0344
2020-09-01,London & Northern Ireland,4.11745
2020-10-01,Other,2.97221
2020-10-01,London & Northern Ireland,4.1656
2020-12-01,Other,3.017175
2020-12-01,London & Northern Ireland,3.96475
2021-05-01,Other,2.8347375
2021-05-01,London & Northern Ireland,3.9686
2021-06-01,Other,2.90267
2021-06-01,London & Northern Ireland,4.292
2021-07-01,Other,3.00292
2021-07-01,London & Northern Ireland,4.35095
2021-08-01,Other,3.05432
2021-08-01,London & Northern Ireland,4.34145
2021-09-01,Other,3.0534
2021-09-01,London & Northern Ireland,4.37645
2021-10-01,Other,3.11251
2021-10-01,London & Northern Ireland,4.37485
2021-11-01,Other,3.11541
2021-11-01,London & Northern Ireland,4.2905
2021-12-01,Other,3.11202
2021-12-01,London & Northern Ireland,4.3186
2022-01-01,Other,3.21396
2022-01-01,London & Northern Ireland,4.2818
2022-02-01,Other,3.22035
2022-02-01,London & Northern Ireland,4.1897
2022-03-01,Other,3.24544
2022-03-01,London & Northern Ireland,4.2833
2022-04-01,Other,3.27822
2022-04-01,London & Northern Ireland,4.51705
2022-05-01,Other,3.28228
2022-05-01,London & Northern Ireland,4.47395
2022-06-01,Other,3.31575
2022-06-01,London & Northern Ireland,4.41355
2022-07-01,Other,3.28907
2022-07-01,London & Northern Ireland,4.50275
2022-08-01,Other,3.32243
2022-08-01,London & Northern Ireland,4.496
2022-09-01,Other,3.27783
2022-09-01,London & Northern Ireland,4.52935
2022-10-01,Other,3.31111
2022-10-01,London & Northern Ireland,4.61685
